Algeria	Algeria
Antarctica	Antarctic Region
French Southern and Antarctic Territories	Antarctic Region
Argentina	Argentina
Australia	Australia and New Zealand
Christmas Island	Australia and New Zealand
Cocos (Keeling) Islands	Australia and New Zealand
New Zealand	Australia and New Zealand
Norfolk Island	Australia and New Zealand
Brazil	Brazil
Canada	Canada 
Anguilla	Caribbean
Antigua and Barbuda	Caribbean
Aruba	Caribbean
Bahamas	Caribbean
Barbados	Caribbean
British Virgin Islands	Caribbean
Cayman Islands	Caribbean
Cuba	Caribbean
Dominica	Caribbean
Dominican Republic	Caribbean
Grenada	Caribbean
Guadeloupe	Caribbean
Haiti	Caribbean
Jamaica	Caribbean
Martinique	Caribbean
Montserrat	Caribbean
Netherlands Antilles	Caribbean
Puerto Rico	Caribbean
Saint Kitts and Nevis	Caribbean
Saint Lucia	Caribbean
Saint Vincent and the Grenadines	Caribbean
Trinidad and Tobago	Caribbean
Turks and Caicos Islands	Caribbean
United States Virgin Islands	Caribbean
Belize	Central America
Costa Rica	Central America
El Salvador	Central America
Guatemala	Central America
Honduras	Central America
Nicaragua	Central America
Panama	Central America
Kazakhstan	Central Asia
Kyrgyzstan	Central Asia
Tajikistan	Central Asia
Turkmenistan	Central Asia
Uzbekistan	Central Asia
China, mainland	China
China	China 
British Indian Ocean Territory	Eastern Africa
Burundi	Eastern Africa
Comoros	Eastern Africa
Djibouti	Eastern Africa
Eritrea	Eastern Africa
Ethiopia	Eastern Africa
Ethiopia PDR	Eastern Africa
Kenya	Eastern Africa
Madagascar	Eastern Africa
Malawi	Eastern Africa
Mauritius	Eastern Africa
Mayotte	Eastern Africa
Mozambique	Eastern Africa
Réunion	Eastern Africa
Rwanda	Eastern Africa
Seychelles	Eastern Africa
Somalia	Eastern Africa
South Sudan	Eastern Africa
Uganda	Eastern Africa
United Republic of Tanzania	Eastern Africa
Zambia	Eastern Africa
Zimbabwe	Eastern Africa
China, Hong Kong SAR	China 
China, Macao SAR	China
China, Taiwan Province of	China
Democratic People's Republic of Korea	Korea
Mongolia	Mongolia
Republic of Korea	Korea
Belarus	Eastern Europe (non-EU)
Czechoslovakia	Eastern Europe (non-EU)
Republic of Moldova	Eastern Europe (non-EU)
Ukraine	Eastern Europe (non-EU)
USSR	Eastern Europe (non-EU)
Egypt	Egypt
Austria	European Union
Belgium	European Union
Belgium-Luxembourg	European Union
Bulgaria	European Union
Cyprus	European Union
Czech Republic	European Union
Denmark	European Union
Estonia	European Union
Finland	European Union
France	European Union
Germany	European Union
Greece	European Union
Hungary	European Union
Ireland	European Union
Italy	European Union
Latvia	European Union
Lithuania	European Union
Luxembourg	European Union
Malta	European Union
Netherlands	European Union
Poland	European Union
Portugal	European Union
Romania	European Union
Slovakia	European Union
Slovenia	European Union
Spain	European Union
Sweden	European Union
United Kingdom	European Union
India	India
Iran (Islamic Republic of)	Iran
Japan	Japan
Fiji	Melanesia
New Caledonia	Melanesia
Papua New Guinea	Melanesia
Solomon Islands	Melanesia
Vanuatu	Melanesia
Mexico	Mexico 
Guam	Micronesia
Kiribati	Micronesia
Marshall Islands	Micronesia
Micronesia (Federated States of)	Micronesia
Nauru	Micronesia
Northern Mariana Islands	Micronesia
Pacific Islands Trust Territory	Micronesia
Palau	Micronesia
Angola	Middle Africa
Cameroon	Middle Africa
Central African Republic	Middle Africa
Chad	Middle Africa
Congo	Middle Africa
Democratic Republic of the Congo	Middle Africa
Equatorial Guinea	Middle Africa
Gabon	Middle Africa
Sao Tome and Principe	Middle Africa
Morocco	Morocco
Bermuda	North America (other)
Greenland	North America (other)
Saint Pierre and Miquelon	North America (other)
Libya	Northern Africa (other)
Sudan	Northern Africa (other)
Sudan (former)	Northern Africa (other)
Tunisia	Northern Africa (other)
Western Sahara	Northern Africa (other)
Channel Islands	Northern Europe (non-EU)
Faroe Islands	Northern Europe (non-EU)
Iceland	Northern Europe (non-EU)
Isle of Man	Northern Europe (non-EU)
Norway	Northern Europe (non-EU)
Svalbard and Jan Mayen Islands	Northern Europe (non-EU)
American Samoa	Polynesia
Cook Islands	Polynesia
French Polynesia	Polynesia
Niue	Polynesia
Pitcairn Islands	Polynesia
Samoa	Polynesia
Tokelau	Polynesia
Tonga	Polynesia
Tuvalu	Polynesia
Wake Island	Polynesia
Wallis and Futuna Islands	Polynesia
Russian Federation	Russia 
Bolivia (Plurinational State of)	South America (other)
Chile	South America (other)
Colombia	South America (other)
Ecuador	South America (other)
Falkland Islands (Malvinas)	South America (other)
French Guiana	South America (other)
Guyana	South America (other)
Paraguay	South America (other)
Peru	South America (other)
Suriname	South America (other)
Uruguay	South America (other)
Venezuela (Bolivarian Republic of)	South America (other)
Brunei Darussalam	South-Eastern Asia
Cambodia	South-Eastern Asia
Indonesia	South-Eastern Asia
Lao People's Democratic Republic	South-Eastern Asia
Malaysia	South-Eastern Asia
Myanmar	South-Eastern Asia
Philippines	South-Eastern Asia
Singapore	South-Eastern Asia
Thailand	South-Eastern Asia
Timor-Leste	South-Eastern Asia
Viet Nam	South-Eastern Asia
Botswana	Southern Africa
Lesotho	Southern Africa
Namibia	Southern Africa
South Africa	Southern Africa
Swaziland	Southern Africa
Afghanistan	Southern Asia (other)
Bangladesh	Southern Asia (other)
Bhutan	Southern Asia (other)
Maldives	Southern Asia (other)
Nepal	Southern Asia (other)
Pakistan	Southern Asia (other)
Sri Lanka	Southern Asia (other)
Albania	Southern Europe (non-EU)
Andorra	Southern Europe (non-EU)
Bosnia and Herzegovina	Southern Europe (non-EU)
Croatia	Southern Europe (non-EU)
Gibraltar	Southern Europe (non-EU)
Holy See	Southern Europe (non-EU)
Montenegro	Southern Europe (non-EU)
San Marino	Southern Europe (non-EU)
Serbia	Southern Europe (non-EU)
Serbia and Montenegro	Southern Europe (non-EU)
The former Yugoslav Republic of Macedonia	Southern Europe (non-EU)
Yugoslav SFR	Southern Europe (non-EU)
United States of America	USA
Benin	Western Africa
Burkina Faso	Western Africa
Cabo Verde	Western Africa
Côte d'Ivoire	Western Africa
Gambia	Western Africa
Ghana	Western Africa
Guinea	Western Africa
Guinea-Bissau	Western Africa
Liberia	Western Africa
Mali	Western Africa
Mauritania	Western Africa
Niger	Western Africa
Nigeria	Western Africa
Saint Helena, Ascension and Tristan da Cunha	Western Africa
Senegal	Western Africa
Sierra Leone	Western Africa
Togo	Western Africa
Armenia	Western Asia
Azerbaijan	Western Asia
Bahrain	Western Asia
Georgia	Western Asia
Iraq	Western Asia
Israel	Western Asia
Jordan	Western Asia
Kuwait	Western Asia
Lebanon	Western Asia
Gaza Strip (Palestine)	Western Asia
Occupied Palestinian Territory	Western Asia
Oman	Western Asia
Qatar	Western Asia
Saudi Arabia	Western Asia
Syrian Arab Republic	Western Asia
Turkey	Western Asia
United Arab Emirates	Western Asia
Yemen	Western Asia
Liechtenstein	Liechtenstein
Monaco	Monaco
Switzerland	Switzerland
Unspecified	Unspecified
