Algeria	100
Antarctic Region	0
Argentina	10
Australia and New Zealand	108
Brazil	11
Canada 	16
Caribbean	13
Central America	14
Central Asia	40
China	50
Eastern Africa	90
Korea	50.1
Mongolia	50.2
Eastern Europe (non-EU)	30
Egypt	101
European Union	29.9
India	60
Iran	41
Japan	51
Melanesia	109.5
Mexico 	15.5
Micronesia	109
Middle Africa	91
Morocco	102
North America (other)	18
Northern Africa (other)	103
Northern Europe (non-EU)	31
Polynesia	110
Russia 	41.5
South America (other)	12
South-Eastern Asia	60.75
Southern Africa	92
Southern Asia (other)	61
Southern Europe (non-EU)	32
USA	15
Western Africa	93
Western Asia	42
Liechtenstein	33
Monaco	33.2
Switzerland	33.1
Unspecified	1000
